ITEMNAME,sales_channel,unit_weight
PERDRAW 7308-50      5GLPL,NON-DISTRIBUTION,50
C-INHIBITOR 28C     18.9L/5G PAIL,NON-DISTRIBUTION,42.96666666666667
PERKOOL 5250      55GL DRUM,NON-DISTRIBUTION,455
PHOSPHATE CONDITIONER MGR     100 LB   FDR,NON-DISTRIBUTION,100
PERKUT 284-L     330GL TOTE,NON-DISTRIBUTION,2492
ALIDOX NF      18.9L/5G,NON-DISTRIBUTION,54.4
PRI-COOL 855      5GLPL,NON-DISTRIBUTION,42
STODDARD SOLVENT   BULK (GAL),NON-DISTRIBUTION,6.448750000000002
ACCUDRAW 900     55G DRUM,NON-DISTRIBUTION,444
PERLUBE AW-46-S      55GL DRUM,NON-DISTRIBUTION,401
MULTI-TERJ CR-2213      208L/55G,NON-DISTRIBUTION,469
WSM-192      208L/55G,NON-DISTRIBUTION,420
PICTAX CLASSIC     400 LB   MDR,NON-DISTRIBUTION,400
MULTI-KLEEN 1568     56.8L/15G,NON-DISTRIBUTION,130
CIMSTAR 60XL     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,479
CIMTECH 500     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,485
GF ACID CLEAN 3077LF      5GLPL,NON-DISTRIBUTION,57
CONFIDENCE 10-C        114L/30G,NON-DISTRIBUTION,295
BLUE STAR CLE 5520     DRUM (7),NON-DISTRIBUTION,354
DURALINK 450     18.9L/5G,NON-DISTRIBUTION,43
ANTIFOAM     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,42
2217-32 - SEMI-SYN TURBINE FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
LIQUI-LUBE      56.8L/15G,NON-DISTRIBUTION,125
PERKUT 209-AL     330GL TOTE,NON-DISTRIBUTION,2423
MONITROL 2302      113.6L/30GL DRUM,NON-DISTRIBUTION,280
PRI-CLEAN BASIC BLUE      55GL PL DRUM,NON-DISTRIBUTION,480
BLUE STAR S 6150/150     275G TOTE (10),NON-DISTRIBUTION,2032
CIMTECH 46C     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,45
PERKUT 355-B       55GL DRUM,NON-DISTRIBUTION,389
PERKUT 305-RT     1249L/330G TOTE,NON-DISTRIBUTION,2630
6019-150 - DIESTER AIR COMP LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,11.3
PERKOTE 80-350      550GL STL TOTE,NON-DISTRIBUTION,4048
CIMSTAR QUAL STAR     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,461
DOUBLE-CUT PEARL 64       208L/55G,NON-DISTRIBUTION,447
PERKUT 308-MC     1249L/330G TOTE,NON-DISTRIBUTION,2405
PERCHEM ANTIFREEZE WN     18.9L/5G PAIL,NON-DISTRIBUTION,45
PERLUBE WL-150      5GLPL,NON-DISTRIBUTION,38
USL-295 FORMING CHAIN LUBRICANT     330G TOTE,NON-DISTRIBUTION,2475
DICASAN PAA      18.9L/5G PAIL,NON-DISTRIBUTION,45
6531-100 - SYN GEAR & BEARING FLUID   1QT 12X1 CASE FS,NON-DISTRIBUTION,22
OAKFLO DSY 910 BLUE     5G /  19L G&G PLASTIC PAIL,NON-DISTRIBUTION,44
CIMPERIAL1880M     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,429
GROTAN      CASE 4 - 10LB GALLONS,NON-DISTRIBUTION,40
BIO-TEC 095      44LB PAIL    (10),NON-DISTRIBUTION,44
2243-15 - MIN-OIL AW HYDR FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,28.2
7101-15W40 - SYN ENGINE OIL   55GL DRUM BLK,NON-DISTRIBUTION,396
PERLUBE EP-68-XT     55GL DRUM,NON-DISTRIBUTION,404
6043-68 - SEMI-SYN COMP LUBE   1QT 12X1 CASE FS,NON-DISTRIBUTION,22
ROCKSPIN 22   55G DRUM,NON-DISTRIBUTION,436.771625
PERKOTE 30-348      55GL DRUM,NON-DISTRIBUTION,361
ASSURANCE 6395     1041L/275G TOTE,NON-DISTRIBUTION,2480
DURATEC 400 HA     1249L/330G TOTE,NON-DISTRIBUTION,2823
FORM OIL 401      275G TOTE,NON-DISTRIBUTION,1993
GF PHOS 458      55G DRUM,NON-DISTRIBUTION,541
GF ADJUST 748      330G TOTE,NON-DISTRIBUTION,3524
2063-22 - SYN AIR TOOL OIL + EVERCLN   1QT 12X1 CASE,NON-DISTRIBUTION,21
ELIM-IRON      18.9L/5G,NON-DISTRIBUTION,54.899999999999984
D.K. SOLVENT     208L/55G DRUM,NON-DISTRIBUTION,451
ACCUCOOL 3070     250G TOTE,NON-DISTRIBUTION,2078
GF PREP 631M      55G DRUM,NON-DISTRIBUTION,539
GF CLEAN 410     5G PAIL,NON-DISTRIBUTION,48.8
DUJEL 300      1249L/330G,NON-DISTRIBUTION,2874
CLEANER D-PLUS-2     BULK GALLONS,NON-DISTRIBUTION,8.517375
PERLUBE AW-68-S      1249L/330G,NON-DISTRIBUTION,2416
PERLUBE AW-68      5GLPL,NON-DISTRIBUTION,37
2243-32 - MIN-OIL AW HYDR FLUID   55GL DRUM BLK,NON-DISTRIBUTION,395
4004-68 - NXT MIN - PREM RC OIL   55GL DRUM BLK,NON-DISTRIBUTION,398
6863-68 - EXT-LIFE AIR COMP LUBE   5GL PAIL BLK,NON-DISTRIBUTION,38
PERCHEM 1010-DO      55GL DRUM,NON-DISTRIBUTION,348
PARQUENCH 60-XCR     1249L/330G,NON-DISTRIBUTION,2820
2085-68 - WAY LUBE   5GL PAIL BLK,NON-DISTRIBUTION,36
KLEEN KOOL GP     5G / 19L WHITE PLASTIC PAIL,NON-DISTRIBUTION,45
ALMCO 2320      5GLPL,NON-DISTRIBUTION,43
ALCHROME 12     208L/55G DRUM,NON-DISTRIBUTION,492
PERLUBE AW-68-S       BULK GALLONS,NON-DISTRIBUTION,7.34655
PERLUBE AW-68-S      325GL STL TOTE,NON-DISTRIBUTION,2379
QUENCH OIL 1080   275G TOTE,NON-DISTRIBUTION,1964
CIMSTAR 3890     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,461
CHEMPOL AA 30 NEW     150LB DRUM,NON-DISTRIBUTION,150
PERCHEM 2900      1249L/330G TOTE,NON-DISTRIBUTION,2514
CIMPERIAL 16 PINK     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,428
ACCUDRAW 450      250G TOTE,NON-DISTRIBUTION,1818
PERLUBE WL-68-ISC     55GL DRUM,NON-DISTRIBUTION,404
PERKLEEN 1318-HV       55G DRUM,NON-DISTRIBUTION,470
TECHNISTRIP MS 63     300G TOTE,NON-DISTRIBUTION,2478
SPECTRA RED X     330GL TOTE (D-IBC),NON-DISTRIBUTION,3132
PERLUBE AW-100       BULK GALLONS,NON-DISTRIBUTION,7.4068499999999995
TROJAN 46 AW NZ   55G DRUM,NON-DISTRIBUTION,405
TROJAN 46 AW   330G/1250L TOTE,NON-DISTRIBUTION,2525.542573333333
PERKUT 282-EP     330G PL TOTE,NON-DISTRIBUTION,2587
6831-32 - SYN FG LT CHAIN LUBE   275GL TOTE,NON-DISTRIBUTION,1940
6831-32 - SYN FG LT CHAIN LUBE   55GL DRUM BLK-M,NON-DISTRIBUTION,388
TECHNICOAT 90 G     275G TOTE,NON-DISTRIBUTION,2981
TROJAN 100   55G DRUM,NON-DISTRIBUTION,436.4211111111113
PERLUBE AW-32     1041L/275G TOTE,NON-DISTRIBUTION,1990
GX RP 1298   55G DRUM,NON-DISTRIBUTION,377
GF PHOS 757CL     330GL TOTE,NON-DISTRIBUTION,3399
TECHNILLOY ZN NI 5100     55G DRUM,NON-DISTRIBUTION,468
DUJEL 1200      208L/55G,NON-DISTRIBUTION,501
SPIN FIN 106-1     2222LB TOTE,NON-DISTRIBUTION,2222
PROMEX CMT1.5     5-GAL PAIL (OH),NON-DISTRIBUTION,43
CIMCLEAN PRODUCTO FCR-400     55G / 208L WHITE PLASTIC DRUM,NON-DISTRIBUTION,459
VISFORM 3230   55G/208L DRUM,NON-DISTRIBUTION,496.45
THERMOGARD       18.9L/5G PAIL,NON-DISTRIBUTION,43
CAVALIER 32   55G DRUM,NON-DISTRIBUTION,440.4231
VISFORM 3200   275G/1040L TOTE,NON-DISTRIBUTION,2539.925
GX PROOF 7054C      55G DRUM,NON-DISTRIBUTION,490
TECHNICLEAN F 1431     55G DRUM,NON-DISTRIBUTION,495
PERKLEEN 1384      55G DRUM,NON-DISTRIBUTION,493
PLASTIQUENCH     208L/55G,NON-DISTRIBUTION,464
LOW TEMP DRAW SALT     400 LB   FDR,NON-DISTRIBUTION,400
ONE-PLATE 2001Q     55GL DRUM,NON-DISTRIBUTION,550
2099-40 - CALDERA 4 - HTF   1GL 4X1 CASE,NON-DISTRIBUTION,29
6288-32 - SILICONE DIFF-PUMP FLUID   5GL PAIL BLK,NON-DISTRIBUTION,40
6488-32 - LT SYN SIL FRZR LUBE   5GL PAIL BLK,NON-DISTRIBUTION,40
6863-46 - EXT-LIFE AIR COMP LUBE   1QT 12X1 CASE FS,NON-DISTRIBUTION,23
TECHNIBRITE NI 105     55G DRUM,NON-DISTRIBUTION,469
6045-46 - SEMI-SYN 4000HR COMP LUBE   1GL 4X1 CASE,NON-DISTRIBUTION,29
STAR CLEAN 1230     208L/55G DRUM,NON-DISTRIBUTION,496
PERCHEM 4545      5GLPL,NON-DISTRIBUTION,43
CIMTECH 3100-VLZ     275G / 1041L TOTE,NON-DISTRIBUTION,2420
POLYQUENCH 15-XNB 330G TOTE (NTN ONLY),NON-DISTRIBUTION,2934
PERKOOL 9417      275GL PL TOTE,NON-DISTRIBUTION,2071
HI CYCLE 147      208L/55G,NON-DISTRIBUTION,495
OAKFLO DSS 800 BLUE     5G /  19L G&G PLASTIC PAIL,NON-DISTRIBUTION,43
CIMCLEAN PRODUCTO SP-260     275G / 1041L TOTE,NON-DISTRIBUTION,2371
CIMCLEAN PRODUCTO SP-5940     55G / 208L WHITE PLASTIC DRUM,NON-DISTRIBUTION,495
LAB OIL 72-D     208L/55G,NON-DISTRIBUTION,425
VISCOOL 6110 MULTI-METAL   5G/19L PAIL TH,NON-DISTRIBUTION,42
PERLUBE SYN-COMP-46      55GL DRUM,NON-DISTRIBUTION,407
GF STRIP 67      330G TOTE,NON-DISTRIBUTION,3788
DUBOIS ADD NS24     208L/55G DRUM,NON-DISTRIBUTION,710
2288-46 - FG BIO HYDR FLUID   55GL DRUM GRN,NON-DISTRIBUTION,397
PERKOOL 5250-TFW     1249L/330G TOTE,NON-DISTRIBUTION,2727
UNI KLEEN 58DA     1189L/314G,NON-DISTRIBUTION,3450
NO CARB     18.9L/5G    (VESSEL),NON-DISTRIBUTION,78.45
CHEMPET 6512 CLEANER   275G/1040L TOTE,NON-DISTRIBUTION,2680.6232
PEARL-Z 3421-BU     1249L/330G,NON-DISTRIBUTION,2660
LD-25     35LB PAIL,NON-DISTRIBUTION,35
DURATEC WAND FRP     BULK GALLONS,NON-DISTRIBUTION,8.5425
DURATEC WAND FRP     18.9L/5G,NON-DISTRIBUTION,43
CIMGUARD OAK PROTECT 2405     55G / 208L WHITE PLASTIC DRUM,NON-DISTRIBUTION,364
TREXCIDE 323      114L/30G   (340 LB) blue,NON-DISTRIBUTION,340
DOUBLE-CUT TOPAZ 82       18.9L/5G,NON-DISTRIBUTION,43
NTR-1     208L/55G,NON-DISTRIBUTION,548
OAKFLO DSY 901XP-AFC     55G / 208L G&G STEEL DRUM,NON-DISTRIBUTION,487
6470 LIQUID CLEANER   55G DRUM,NON-DISTRIBUTION,619.196675
MARQUENCH OIL M     18.9L/5G,NON-DISTRIBUTION,36
CIMGUARD 22     55G / 208L WHITE PLASTIC DRUM,NON-DISTRIBUTION,381
ACCUVIS 100      55G DRUM,NON-DISTRIBUTION,403
PERKUT 510-MV      BULK GALLONS,NON-DISTRIBUTION,7.462962500000001
6061-46 - FG AIR COMP LUBE   5GL PAIL BL,NON-DISTRIBUTION,36
4425-120 - NXT POE - RC OIL   55GL DRUM BLK,NON-DISTRIBUTION,435
4013-100 - NXT ABR - RC OIL   5GL PAIL BLK,NON-DISTRIBUTION,37
2284-15 - BIO HYDR FLUID   1QT 12X1 CASE FS,NON-DISTRIBUTION,21
TECHNICLEAN F 1214 I     55G DRUM,NON-DISTRIBUTION,543
2058-32 - SYN VAC-PUMP FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
PERLUBE 68-NZ      55GL DRUM,NON-DISTRIBUTION,403
STAR GUARD 3252     PAIL,NON-DISTRIBUTION,32
ISOPAR E      (DRUM),NON-DISTRIBUTION,375
FORM RELEASE OIL 165   BULK (GAL),NON-DISTRIBUTION,6.8700125000000005
NFP JETTACIN     18.9L/5G PAIL,NON-DISTRIBUTION,43
PERKUT 241     5GLPL,NON-DISTRIBUTION,39
PERKOOL 5460      5GLPL,NON-DISTRIBUTION,41
ANTIFREEZE 50 GREEN   55G DRUM,NON-DISTRIBUTION,487
VALRUST AMBER HEAVY   5G PAIL TH,NON-DISTRIBUTION,36.7
CIMTECH 190     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,46
250 CST FG HIGH TEMP OVEN CHAIN LUBE     55G DRUM,NON-DISTRIBUTION,424
LSI NO. 728      55GL DRUM,NON-DISTRIBUTION,442
SUPER WILD CHERRY BUBBLES     BULK GALLONS,NON-DISTRIBUTION,8.52575
MILPRO 740ACF     275G / 1041L TOTE,NON-DISTRIBUTION,1988
4415-100 - PAG GC LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,34
2082-680 - SYN FG GEAR LUBE   5GL PAIL BLK,NON-DISTRIBUTION,37
2384-68 - SYN MV AW HYDR FLUID   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.800000000000002
4025-100 - POE MOBILE AC COMP LUBE   275GL TOTE,NON-DISTRIBUTION,2022
2288-32 - FG BIO HYDR FLUID   55GL DRUM GRN,NON-DISTRIBUTION,391
NITEC 5300C-SRPH     201L/53G,NON-DISTRIBUTION,574
LUBRICOOLANT 4D     208L/55G,NON-DISTRIBUTION,423
GF MASK COTE 633S       18.9L/5G,NON-DISTRIBUTION,56
6445-32 - SEMI-SYN PORTABLE COMP LUBE   5GL PAIL BLK,NON-DISTRIBUTION,36
ROCKCUT 108 HIGH LUBRICITY   55G DRUM,NON-DISTRIBUTION,404.3346
STAR GUARD 3435     TOTE,NON-DISTRIBUTION,2254
SNFG 220     55G DRUM,NON-DISTRIBUTION,401
RUST PREVENT 100-LF     208L/55G,NON-DISTRIBUTION,421
ROCKCUT 4036 LOW ODOR   BULK (GAL),NON-DISTRIBUTION,7.3155625
ROCKCUT 314   55G DRUM,NON-DISTRIBUTION,458.8361
ROCKCUT 4036 LOW ODOR   275G TOTE,NON-DISTRIBUTION,2250.3287
6043-100 - SEMI-SYN COMP LUBE 55GL DRUM GY METAL,NON-DISTRIBUTION,399
KLEANZ-IT Q+L     5GL PAIL,NON-DISTRIBUTION,42
ACCUCOOL WS 6     250G TOTE,NON-DISTRIBUTION,1920
6323-46 - OEM PAGR AIR COMP LUBE+BA [BL]   275GL TOTE,NON-DISTRIBUTION,2035
DISHEEN MANUAL LIQUID      4x3.78L/1G,NON-DISTRIBUTION,34
BLUE COOL S2550 B     PAIL (W/BLUE DYE),NON-DISTRIBUTION,42
SODIUM HYPOCHLORITE-12.5% BACTICIDE     55G DRUM,NON-DISTRIBUTION,555
ACCUDRAW 5053     275GL TOTE,NON-DISTRIBUTION,2423
AAA QUENCH OIL 330G TOTE (HEA-SPFRA & SPFRA04 ORDERS ONLY),NON-DISTRIBUTION,2338
6321-68 - OEM PAGR AIR COMP LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,11.5
MILFORM 64SST     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,44
R-9-C      100 LB   DRUM,NON-DISTRIBUTION,100
TECHNICOAT OD A     5G PAIL,NON-DISTRIBUTION,56.5
GREASE BUSTER-2X     BULK GALLONS,NON-DISTRIBUTION,8.8775
PERLUBE 632      5GLPL,NON-DISTRIBUTION,37
6045-68 - SEMI-SYN 4000HR COMP LUBE [BL]   275GL TOTE,NON-DISTRIBUTION,1981
ISO-220 ND CHAIN OIL     5G PAIL,NON-DISTRIBUTION,37
ACCUCUT 570 M RED     5G PAIL,NON-DISTRIBUTION,39
2284-10 - BIO HYDR FLUID   5GL PAIL BLK,NON-DISTRIBUTION,35
BLUE FORM 4382     DRUM,NON-DISTRIBUTION,400
FCR OF QUENCH 400-TRUFAST   BULK (GAL),NON-DISTRIBUTION,7.2368375
2185-68 - SYN FG CHAIN LUBE + TACK   55GL DRUM BLK,NON-DISTRIBUTION,397
GREEN XTRA-RUMPKE     BULK GALLONS,NON-DISTRIBUTION,8.927750000000001
VISCOOL 6325 N   5G/19L PAIL,NON-DISTRIBUTION,45.56442857142857
PERCHEM EDM-34      55GL DRUM,NON-DISTRIBUTION,379
CIMTUBE 10-1315MP     275G / 1041L TOTE (NET),NON-DISTRIBUTION,2453
POLYQUENCH 15-XND     18.9L/5G,NON-DISTRIBUTION,44
CHEMICO 7160C      55GL DRUM (DUBOIS SALE SKU),NON-DISTRIBUTION,400
GALAXY LEAN COAT 400      55G DRUM,NON-DISTRIBUTION,482
TECHNICOAT OD A     55G DRUM,NON-DISTRIBUTION,624
6857-46 - POE EAL HYDR FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
ALMCO 503R-1       5GLPL,NON-DISTRIBUTION,42
GX COOL 1481GKN      330G TOTE,NON-DISTRIBUTION,2853
TECHNICLEAN F 1454     5G PAIL,NON-DISTRIBUTION,60.7
2096-100 - CALDERA 1 - HF HTF   275GL TOTE,NON-DISTRIBUTION,1989
TECHNICLEAN AC 1801     55G DRUM,NON-DISTRIBUTION,495
150 R&O AW HYDRAULIC OIL   55G DRUM,NON-DISTRIBUTION,431.7144033333334
PHOS DIP MWZ     208L/55G,NON-DISTRIBUTION,650
ISO 22 HIGH TEMP CHAIN OIL     1249L/330G TOTE,NON-DISTRIBUTION,2542
6019-68 - DIESTER AIR COMP LUBE   275GL TOTE,NON-DISTRIBUTION,2072
DURATEC 100     18.9L/5G,NON-DISTRIBUTION,42
ACCUCOOL 3070 AM     330G TOTE,NON-DISTRIBUTION,2820
PERKUT 309-P       BULK GALLONS,NON-DISTRIBUTION,7.514887499999992
PERKUT 309-P      208L/55G DRU,NON-DISTRIBUTION,412
6061-46 - FG AIR COMP LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,10.8
QUENCH BRITE MARQUENCHING OIL     208L/55G,NON-DISTRIBUTION,400
MULTI-TERJ 2112 MF     208L/55G DRUM,NON-DISTRIBUTION,502
ALU-BRAZE 930     100 LB   FDR,NON-DISTRIBUTION,100
ACCUCUT 471B-OX      5GLPL,NON-DISTRIBUTION,41
VALRUST 900 CONCENTRATE   5G/19L PAIL,NON-DISTRIBUTION,44.935
HUSKIE UNIVERSAL TH FLUID   350G TOTE,NON-DISTRIBUTION,3098.9225
TECHNICLEAN SQUEEKY CLEAN GPNR     55G DRUM,NON-DISTRIBUTION,487
ACCUDRAW 1905      330G TOTE,NON-DISTRIBUTION,2465
2082-100 - SYN FG GEAR LUBE   5GL PAIL BL,NON-DISTRIBUTION,36
VISCOOL 5500 WHITE   55G/208L DRUM,NON-DISTRIBUTION,484.88357857142864
BLUE STAR XP 9910/220-1     PAIL,NON-DISTRIBUTION,50
ODORLESS MINERAL SPIRITS LANOLIN   55G DRUM,NON-DISTRIBUTION,382.7359
DIVERSCALE 299     200 LB   FDR,NON-DISTRIBUTION,200
COAGULITE 100      208L/55G,NON-DISTRIBUTION,617
GX CLEAN 5750      55G DRUM,NON-DISTRIBUTION,475
D909     30 LB PAIL,NON-DISTRIBUTION,30
PERKOOL 5250-TF (BLUE)      208L/55G DRUM,NON-DISTRIBUTION,462.5
GX CLEAN 1292      55G DRUM,NON-DISTRIBUTION,484
PROPYLENE GLYCOL COOLANT 30% GREEN   55G DRUM POLY,NON-DISTRIBUTION,498.8213212121211
GX COOL 1453GKN      5GL PAIL,NON-DISTRIBUTION,42
4425-55 - NXT POE - RC OIL   1GL 4X1 CASE MTL,NON-DISTRIBUTION,31
CIMSTAR SB 485     5G / 19L PINK PLASTIC PAIL (NET),NON-DISTRIBUTION,43
ALU-BRAZE 930     200 LB   FDR,NON-DISTRIBUTION,200
PERDRAW 1045      55GL DRUM,NON-DISTRIBUTION,361
TECHNIBRITE AZ 130 BRIGHTENER     55G DRUM,NON-DISTRIBUTION,461
DOUBLE-CUT PEARL 63      1249L/330G,NON-DISTRIBUTION,2679
TECHNIBRITE NI 305     55G DRUM,NON-DISTRIBUTION,493
GF CLEAN 407BF      TOTE,NON-DISTRIBUTION,3086
SECURE GARD      208L/55G,NON-DISTRIBUTION,512
GX PROOF 6160      55G DRUM,NON-DISTRIBUTION,474
GF SEAL 745       5GLPL,NON-DISTRIBUTION,46
GX COOL 3890CSL     18.9L/5G,NON-DISTRIBUTION,41
DOUBLE-CUT TOPAZ 75      18.9L/5G,NON-DISTRIBUTION,43
LITHIUM EP 1 GREASE (MOBILUX EP 1)   5G/19L PAIL,NON-DISTRIBUTION,37.2
BIO CLEAN-NAS     330GL TOTE (D-IBC),NON-DISTRIBUTION,2850
TECHNISTRIP 56     275G TOTE,NON-DISTRIBUTION,3212
ACCUCUT 142      250G TOTE,NON-DISTRIBUTION,1885
6831-15 - SYN FG LT CHAIN LUBE   5GL PAIL GRN,NON-DISTRIBUTION,35
SYNTHETIC GRINDING COOLANT     55G DRUM,NON-DISTRIBUTION,490
2032-220 - SYN EP GEAR LUBE   5GL PAIL RD,NON-DISTRIBUTION,38
2082-220 - SYN FG GEAR LUBE   5GL PAIL GRN,NON-DISTRIBUTION,37
MF ACID     275 LB   FDR,NON-DISTRIBUTION,275
CIMSTAR 40 PINK     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,485
420 QUENCH OIL 330G TOTE (HEA-SPFRA & SPFRA04 ORDERS ONLY),NON-DISTRIBUTION,2393
6531-220 - SYN GEAR & BEARING FLUID   55GL DRUM BLK,NON-DISTRIBUTION,400
EP 150     5GLPL,NON-DISTRIBUTION,37
ACCUCUT 2023 S      55G DRUM,NON-DISTRIBUTION,416
PERCHEM 1562      55G DRUM,NON-DISTRIBUTION,394
NOVOC 51     208L/55G DRUM,NON-DISTRIBUTION,382
CIMPULSE 58D     275G / 1041L TOTE,NON-DISTRIBUTION,2363
CROWN ACID AID 2XF     400# DRUM,NON-DISTRIBUTION,400
CIMTECH 304MA     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,491
ACCUVIS 220     55G DRUM,NON-DISTRIBUTION,409
PERCHEM SL-128     3.78L/1 GALLON JUG,NON-DISTRIBUTION,10
CIMTECH 320-HFP     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,45
SUPER SHEEN     18.9L/5G PAIL,NON-DISTRIBUTION,49
PERKUT 268     208L/55G DRUM,NON-DISTRIBUTION,400
2015-46 - SYN 8000 HR COMP LUBE   5GL PAIL BL,NON-DISTRIBUTION,36
PERKOTE 30-248      5GLPL,NON-DISTRIBUTION,33
CONDEN-SAF 6700       208L/55G,NON-DISTRIBUTION,412
STRIPPER 4C      208L/55G,NON-DISTRIBUTION,619
POWER LIFT     1249L/330GL TOTE,NON-DISTRIBUTION,2891
TECHNISTRIP F 1609 LA     55G DRUM,NON-DISTRIBUTION,481
2082-460 - SYN FG GEAR LUBE   55GL DRUM BLK,NON-DISTRIBUTION,402
TROJAN 46   275G/1040L TOTE,NON-DISTRIBUTION,2143.7314
HUSKIE ATF DEXRON III   5G PAIL,NON-DISTRIBUTION,38.0235
6045-100 - SEMI-SYN 4000HR COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,397
2057-100 - MIN-OIL VAC-PUMP FLUID   55GL DRUM BLK,NON-DISTRIBUTION,397
SPINDLE OIL 10      5GLPL,NON-DISTRIBUTION,36
SECURE STEAM FRP     1249L/330GL TOTE,NON-DISTRIBUTION,3167
MULTI-TERJ 2112 ES       208L/55G,NON-DISTRIBUTION,519
2245-46 - SEMI-SYN FG AW HYDR   55GL DRUM,NON-DISTRIBUTION,397
6064-68 - ADV FG AIR COMP LUBE   5GL PAIL BLK,NON-DISTRIBUTION,36
PERKUT 139-120     55GL DRUM,NON-DISTRIBUTION,413
2174-150 - SYN FG HT CHAIN LUBE   55GL DRUM BLK,NON-DISTRIBUTION,401
ACCUCUT 2140      55GL DRUM,NON-DISTRIBUTION,392
4425-100 - NXT POE - RC OIL   55GL DRUM BLK,NON-DISTRIBUTION,423
NITEC 8500C-NL     208L/55G,NON-DISTRIBUTION,532
PEARL-Z 3652D       1249L/330G,NON-DISTRIBUTION,2716
6863-46 - EXT-LIFE AIR COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,413
AAA QUENCH OIL     1249L/330G,NON-DISTRIBUTION,2338
GX CLEAN 5190     1249L/330G TOTE,NON-DISTRIBUTION,3030
PERCHEM EDM-38      55GL DRUM,NON-DISTRIBUTION,379
USL-1937 HIGH TEMP CHAIN LUBE     5G PAIL,NON-DISTRIBUTION,33.89999999999999
ARICID B     400 LB   FDR,NON-DISTRIBUTION,400
PERLUBE AW-68-S       55GL DRUM,NON-DISTRIBUTION,403
SUPER SHEEN NT     18.9L/5G PAIL,NON-DISTRIBUTION,52.6
2082-68 - SYN FG GEAR LUBE   16OZ 12X1 CASE FC,NON-DISTRIBUTION,11.3
EP 68      5GLPL,NON-DISTRIBUTION,37
PERKOTE 30-366      5GLPL,NON-DISTRIBUTION,34
PERKOTE 10-385      55GL DRUM,NON-DISTRIBUTION,488
ALPET D2 SURFACE SANITIZING WIPES      6 x 90 CT,NON-DISTRIBUTION,14.219999999999999
DURASEAL      114L/30G,NON-DISTRIBUTION,268
UNI KLEEN 28     208L/55G,NON-DISTRIBUTION,550
POWER WASH CLEANER BCR     189L/50G,NON-DISTRIBUTION,450
6043-68 - SEMI-SYN COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,396
6321-46 - OEM PAGR AIR COMP LUBE   5GL PAIL GRY,NON-DISTRIBUTION,37
ACCUDRI 622      55GL DRUM,NON-DISTRIBUTION,348
6863-46 - EXT-LIFE AIR COMP LUBE   5GL PAIL BL,NON-DISTRIBUTION,38
6221-46 - FG HP-BA COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29.1
FLOCULITE 265      18.9L/5G,NON-DISTRIBUTION,40
PERKUT 303-DP      330GL PL TOTE,NON-DISTRIBUTION,2473
4425-68 - NXT POE - RC OIL   55GL DRUM BLK-M,NON-DISTRIBUTION,422
4225-68 - POE COMP LUBE   1GL 4X1 CASE MTL,NON-DISTRIBUTION,29
DOUBLE-CUT TOPAZ 81       208L/55G,NON-DISTRIBUTION,473
PERKUT 304-AL      55GL DRUM,NON-DISTRIBUTION,404
PERKOOL 5000-DL     330G PL TOTE,NON-DISTRIBUTION,2769
PHOSPHATE CONDITIONER 4      100 LB   FDR,NON-DISTRIBUTION,100
2233-46 - NXT 717-HE - AM-RC OIL   55GL DRUM GRN,NON-DISTRIBUTION,396
QUENCH OIL ACCELERATOR      1249L/330G,NON-DISTRIBUTION,2458
PERKLEEN 1346-T1      5GLPL,NON-DISTRIBUTION,44
PERKOTE 30-985      5GLPL,NON-DISTRIBUTION,37
ALU-KLEEN 1514     193L/51G,NON-DISTRIBUTION,480
PERKUT 482-R     208L/55G DRUM,NON-DISTRIBUTION,425
PERCHEM 7129      500LB DRUM,NON-DISTRIBUTION,500
CRYSTAL BRIGHT PLUS WAX     BULK GALLONS,NON-DISTRIBUTION,8.483875
ACCUDRI 4708HD PLUS     55G DRUM,NON-DISTRIBUTION,362
